County,State,Count,Critical,High,Low,Medium,tooltip
Desha,Arkansas,2,0,0,0,2,"County: Desha, Arkansas<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Desoto,Florida,12,0,0,0,12,"County: Desoto, Florida<br>Total Accidents: 12<br>Critical: 0<br>High: 0<br>Medium: 12<br>Low: 0"
Desoto,Mississippi,1,0,0,0,1,"County: Desoto, Mississippi<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Deuel,Nebraska,5,2,1,0,2,"County: Deuel, Nebraska<br>Total Accidents: 5<br>Critical: 2<br>High: 1<br>Medium: 2<br>Low: 0"
Dewey,Oklahoma,1,1,0,0,0,"County: Dewey, Oklahoma<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Dickenson,Virginia,5,2,0,0,3,"County: Dickenson, Virginia<br>Total Accidents: 5<br>Critical: 2<br>High: 0<br>Medium: 3<br>Low: 0"
Dickey,North Dakota,1,0,0,0,1,"County: Dickey, North Dakota<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Dickinson,Michigan,1,1,0,0,0,"County: Dickinson, Michigan<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Dickson,Tennessee,21,2,8,0,11,"County: Dickson, Tennessee<br>Total Accidents: 21<br>Critical: 2<br>High: 8<br>Medium: 11<br>Low: 0"
Dillon,South Carolina,188,1,34,1,152,"County: Dillon, South Carolina<br>Total Accidents: 188<br>Critical: 1<br>High: 34<br>Medium: 152<br>Low: 1"
Dimmit,Texas,1,0,0,0,1,"County: Dimmit, Texas<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Dinwiddie,Virginia,129,18,15,0,96,"County: Dinwiddie, Virginia<br>Total Accidents: 129<br>Critical: 18<br>High: 15<br>Medium: 96<br>Low: 0"
District Of Columbia,District of Columbia,22,2,4,0,16,"County: District Of Columbia, District of Columbia<br>Total Accidents: 22<br>Critical: 2<br>High: 4<br>Medium: 16<br>Low: 0"
District of Columbia,District of Columbia,1185,41,55,7,1082,"County: District of Columbia, District of Columbia<br>Total Accidents: 1185<br>Critical: 41<br>High: 55<br>Medium: 1082<br>Low: 7"
Divide,North Dakota,5,0,0,0,5,"County: Divide, North Dakota<br>Total Accidents: 5<br>Critical: 0<br>High: 0<br>Medium: 5<br>Low: 0"
Dixie,Florida,17,0,0,1,16,"County: Dixie, Florida<br>Total Accidents: 17<br>Critical: 0<br>High: 0<br>Medium: 16<br>Low: 1"
Doddridge,West Virginia,2,0,0,0,2,"County: Doddridge, West Virginia<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Dodge,Georgia,3,2,0,0,1,"County: Dodge, Georgia<br>Total Accidents: 3<br>Critical: 2<br>High: 0<br>Medium: 1<br>Low: 0"
Dodge,Minnesota,24,1,0,0,23,"County: Dodge, Minnesota<br>Total Accidents: 24<br>Critical: 1<br>High: 0<br>Medium: 23<br>Low: 0"
Dodge,Nebraska,6,2,0,0,4,"County: Dodge, Nebraska<br>Total Accidents: 6<br>Critical: 2<br>High: 0<br>Medium: 4<br>Low: 0"
Dodge,Wisconsin,8,4,1,0,3,"County: Dodge, Wisconsin<br>Total Accidents: 8<br>Critical: 4<br>High: 1<br>Medium: 3<br>Low: 0"
Dolores,Colorado,4,2,0,0,2,"County: Dolores, Colorado<br>Total Accidents: 4<br>Critical: 2<br>High: 0<br>Medium: 2<br>Low: 0"
Dona Ana,New Mexico,7,0,1,0,6,"County: Dona Ana, New Mexico<br>Total Accidents: 7<br>Critical: 0<br>High: 1<br>Medium: 6<br>Low: 0"
Doniphan,Kansas,1,0,0,0,1,"County: Doniphan, Kansas<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Donley,Texas,3,1,0,0,2,"County: Donley, Texas<br>Total Accidents: 3<br>Critical: 1<br>High: 0<br>Medium: 2<br>Low: 0"
Dooly,Georgia,20,2,7,0,11,"County: Dooly, Georgia<br>Total Accidents: 20<br>Critical: 2<br>High: 7<br>Medium: 11<br>Low: 0"
Door,Wisconsin,6,1,0,0,5,"County: Door, Wisconsin<br>Total Accidents: 6<br>Critical: 1<br>High: 0<br>Medium: 5<br>Low: 0"
Dorchester,Maryland,37,12,1,0,24,"County: Dorchester, Maryland<br>Total Accidents: 37<br>Critical: 12<br>High: 1<br>Medium: 24<br>Low: 0"
Dorchester,South Carolina,564,6,42,4,512,"County: Dorchester, South Carolina<br>Total Accidents: 564<br>Critical: 6<br>High: 42<br>Medium: 512<br>Low: 4"
Dougherty,Georgia,21,4,1,0,16,"County: Dougherty, Georgia<br>Total Accidents: 21<br>Critical: 4<br>High: 1<br>Medium: 16<br>Low: 0"
Douglas,Colorado,368,14,168,4,182,"County: Douglas, Colorado<br>Total Accidents: 368<br>Critical: 14<br>High: 168<br>Medium: 182<br>Low: 4"
Douglas,Georgia,128,10,52,1,65,"County: Douglas, Georgia<br>Total Accidents: 128<br>Critical: 10<br>High: 52<br>Medium: 65<br>Low: 1"
Douglas,Illinois,6,0,4,0,2,"County: Douglas, Illinois<br>Total Accidents: 6<br>Critical: 0<br>High: 4<br>Medium: 2<br>Low: 0"
Douglas,Kansas,4,3,0,0,1,"County: Douglas, Kansas<br>Total Accidents: 4<br>Critical: 3<br>High: 0<br>Medium: 1<br>Low: 0"
Douglas,Minnesota,84,0,2,0,82,"County: Douglas, Minnesota<br>Total Accidents: 84<br>Critical: 0<br>High: 2<br>Medium: 82<br>Low: 0"
Douglas,Nebraska,1382,7,243,2,1130,"County: Douglas, Nebraska<br>Total Accidents: 1382<br>Critical: 7<br>High: 243<br>Medium: 1130<br>Low: 2"
Douglas,Nevada,68,2,1,2,63,"County: Douglas, Nevada<br>Total Accidents: 68<br>Critical: 2<br>High: 1<br>Medium: 63<br>Low: 2"
Douglas,Oregon,522,12,20,0,490,"County: Douglas, Oregon<br>Total Accidents: 522<br>Critical: 12<br>High: 20<br>Medium: 490<br>Low: 0"
Douglas,Washington,2,2,0,0,0,"County: Douglas, Washington<br>Total Accidents: 2<br>Critical: 2<br>High: 0<br>Medium: 0<br>Low: 0"
Douglas,Wisconsin,4,2,0,0,2,"County: Douglas, Wisconsin<br>Total Accidents: 4<br>Critical: 2<br>High: 0<br>Medium: 2<br>Low: 0"
Doña Ana,New Mexico,11,1,4,0,6,"County: Doña Ana, New Mexico<br>Total Accidents: 11<br>Critical: 1<br>High: 4<br>Medium: 6<br>Low: 0"
Do�a Ana,New Mexico,3,1,1,0,1,"County: Do�a Ana, New Mexico<br>Total Accidents: 3<br>Critical: 1<br>High: 1<br>Medium: 1<br>Low: 0"
Drew,Arkansas,3,0,1,0,2,"County: Drew, Arkansas<br>Total Accidents: 3<br>Critical: 0<br>High: 1<br>Medium: 2<br>Low: 0"
DuPage,Illinois,2109,12,389,44,1664,"County: DuPage, Illinois<br>Total Accidents: 2109<br>Critical: 12<br>High: 389<br>Medium: 1664<br>Low: 44"
Dubois,Indiana,8,4,1,0,3,"County: Dubois, Indiana<br>Total Accidents: 8<br>Critical: 4<br>High: 1<br>Medium: 3<br>Low: 0"
Dubuque,Iowa,9,1,0,0,8,"County: Dubuque, Iowa<br>Total Accidents: 9<br>Critical: 1<br>High: 0<br>Medium: 8<br>Low: 0"
Duchesne,Utah,44,0,1,1,42,"County: Duchesne, Utah<br>Total Accidents: 44<br>Critical: 0<br>High: 1<br>Medium: 42<br>Low: 1"
Dunklin,Missouri,3,2,0,0,1,"County: Dunklin, Missouri<br>Total Accidents: 3<br>Critical: 2<br>High: 0<br>Medium: 1<br>Low: 0"
Dunn,North Dakota,3,0,0,0,3,"County: Dunn, North Dakota<br>Total Accidents: 3<br>Critical: 0<br>High: 0<br>Medium: 3<br>Low: 0"
Dunn,Wisconsin,19,0,5,0,14,"County: Dunn, Wisconsin<br>Total Accidents: 19<br>Critical: 0<br>High: 5<br>Medium: 14<br>Low: 0"
Dupage,Illinois,563,3,40,1,519,"County: Dupage, Illinois<br>Total Accidents: 563<br>Critical: 3<br>High: 40<br>Medium: 519<br>Low: 1"
Duplin,North Carolina,18,5,0,0,13,"County: Duplin, North Carolina<br>Total Accidents: 18<br>Critical: 5<br>High: 0<br>Medium: 13<br>Low: 0"
Durham,North Carolina,268,18,60,8,182,"County: Durham, North Carolina<br>Total Accidents: 268<br>Critical: 18<br>High: 60<br>Medium: 182<br>Low: 8"
Dutchess,New York,644,9,74,8,553,"County: Dutchess, New York<br>Total Accidents: 644<br>Critical: 9<br>High: 74<br>Medium: 553<br>Low: 8"
Duval,Florida,2654,57,931,23,1643,"County: Duval, Florida<br>Total Accidents: 2654<br>Critical: 57<br>High: 931<br>Medium: 1643<br>Low: 23"
Dyer,Tennessee,3,0,1,0,2,"County: Dyer, Tennessee<br>Total Accidents: 3<br>Critical: 0<br>High: 1<br>Medium: 2<br>Low: 0"
Eagle,Colorado,129,22,10,1,96,"County: Eagle, Colorado<br>Total Accidents: 129<br>Critical: 22<br>High: 10<br>Medium: 96<br>Low: 1"
Early,Georgia,2,0,0,0,2,"County: Early, Georgia<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
East Baton Rouge,Louisiana,4871,21,421,70,4359,"County: East Baton Rouge, Louisiana<br>Total Accidents: 4871<br>Critical: 21<br>High: 421<br>Medium: 4359<br>Low: 70"
East Feliciana,Louisiana,1,0,0,0,1,"County: East Feliciana, Louisiana<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Eastland,Texas,7,2,2,0,3,"County: Eastland, Texas<br>Total Accidents: 7<br>Critical: 2<br>High: 2<br>Medium: 3<br>Low: 0"
Eaton,Michigan,64,23,12,1,28,"County: Eaton, Michigan<br>Total Accidents: 64<br>Critical: 23<br>High: 12<br>Medium: 28<br>Low: 1"
Eau Claire,Wisconsin,31,4,8,0,19,"County: Eau Claire, Wisconsin<br>Total Accidents: 31<br>Critical: 4<br>High: 8<br>Medium: 19<br>Low: 0"
Echols,Georgia,2,0,0,0,2,"County: Echols, Georgia<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Ector,Texas,7,1,2,1,3,"County: Ector, Texas<br>Total Accidents: 7<br>Critical: 1<br>High: 2<br>Medium: 3<br>Low: 1"
Eddy,New Mexico,7,5,0,0,2,"County: Eddy, New Mexico<br>Total Accidents: 7<br>Critical: 5<br>High: 0<br>Medium: 2<br>Low: 0"
Edgecombe,North Carolina,21,5,1,1,14,"County: Edgecombe, North Carolina<br>Total Accidents: 21<br>Critical: 5<br>High: 1<br>Medium: 14<br>Low: 1"
Edgefield,South Carolina,63,1,0,0,62,"County: Edgefield, South Carolina<br>Total Accidents: 63<br>Critical: 1<br>High: 0<br>Medium: 62<br>Low: 0"
Edwards,Texas,1,0,0,0,1,"County: Edwards, Texas<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Effingham,Georgia,15,2,4,0,9,"County: Effingham, Georgia<br>Total Accidents: 15<br>Critical: 2<br>High: 4<br>Medium: 9<br>Low: 0"
Effingham,Illinois,16,1,15,0,0,"County: Effingham, Illinois<br>Total Accidents: 16<br>Critical: 1<br>High: 15<br>Medium: 0<br>Low: 0"
El Dorado,California,707,11,5,6,685,"County: El Dorado, California<br>Total Accidents: 707<br>Critical: 11<br>High: 5<br>Medium: 685<br>Low: 6"
El Paso,Colorado,673,27,148,9,489,"County: El Paso, Colorado<br>Total Accidents: 673<br>Critical: 27<br>High: 148<br>Medium: 489<br>Low: 9"
El Paso,Texas,1056,7,101,58,890,"County: El Paso, Texas<br>Total Accidents: 1056<br>Critical: 7<br>High: 101<br>Medium: 890<br>Low: 58"
Elbert,Colorado,12,5,3,0,4,"County: Elbert, Colorado<br>Total Accidents: 12<br>Critical: 5<br>High: 3<br>Medium: 4<br>Low: 0"
Elbert,Georgia,6,2,0,0,4,"County: Elbert, Georgia<br>Total Accidents: 6<br>Critical: 2<br>High: 0<br>Medium: 4<br>Low: 0"
Elk,Pennsylvania,79,3,1,0,75,"County: Elk, Pennsylvania<br>Total Accidents: 79<br>Critical: 3<br>High: 1<br>Medium: 75<br>Low: 0"
Elkhart,Indiana,21,9,1,0,11,"County: Elkhart, Indiana<br>Total Accidents: 21<br>Critical: 9<br>High: 1<br>Medium: 11<br>Low: 0"
Elko,Nevada,88,3,20,0,65,"County: Elko, Nevada<br>Total Accidents: 88<br>Critical: 3<br>High: 20<br>Medium: 65<br>Low: 0"
Ellis,Texas,63,3,27,0,33,"County: Ellis, Texas<br>Total Accidents: 63<br>Critical: 3<br>High: 27<br>Medium: 33<br>Low: 0"
Ellsworth,Kansas,1,0,0,0,1,"County: Ellsworth, Kansas<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Elmore,Alabama,90,0,5,1,84,"County: Elmore, Alabama<br>Total Accidents: 90<br>Critical: 0<br>High: 5<br>Medium: 84<br>Low: 1"
Elmore,Idaho,28,2,0,0,26,"County: Elmore, Idaho<br>Total Accidents: 28<br>Critical: 2<br>High: 0<br>Medium: 26<br>Low: 0"
Emanuel,Georgia,4,1,1,0,2,"County: Emanuel, Georgia<br>Total Accidents: 4<br>Critical: 1<br>High: 1<br>Medium: 2<br>Low: 0"
Emery,Utah,48,0,7,0,41,"County: Emery, Utah<br>Total Accidents: 48<br>Critical: 0<br>High: 7<br>Medium: 41<br>Low: 0"
Emmet,Michigan,4,2,0,0,2,"County: Emmet, Michigan<br>Total Accidents: 4<br>Critical: 2<br>High: 0<br>Medium: 2<br>Low: 0"
Emmons,North Dakota,1,0,0,0,1,"County: Emmons, North Dakota<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Emporia,Virginia,12,1,4,0,7,"County: Emporia, Virginia<br>Total Accidents: 12<br>Critical: 1<br>High: 4<br>Medium: 7<br>Low: 0"
Emporia (City),Virginia,4,0,0,0,4,"County: Emporia (City), Virginia<br>Total Accidents: 4<br>Critical: 0<br>High: 0<br>Medium: 4<br>Low: 0"
Erath,Texas,1,0,0,0,1,"County: Erath, Texas<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Erie,New York,794,34,229,2,529,"County: Erie, New York<br>Total Accidents: 794<br>Critical: 34<br>High: 229<br>Medium: 529<br>Low: 2"
Erie,Ohio,31,3,20,0,8,"County: Erie, Ohio<br>Total Accidents: 31<br>Critical: 3<br>High: 20<br>Medium: 8<br>Low: 0"
Erie,Pennsylvania,80,11,8,0,61,"County: Erie, Pennsylvania<br>Total Accidents: 80<br>Critical: 11<br>High: 8<br>Medium: 61<br>Low: 0"
Escambia,Alabama,17,0,4,0,13,"County: Escambia, Alabama<br>Total Accidents: 17<br>Critical: 0<br>High: 4<br>Medium: 13<br>Low: 0"
Escambia,Florida,916,5,65,3,843,"County: Escambia, Florida<br>Total Accidents: 916<br>Critical: 5<br>High: 65<br>Medium: 843<br>Low: 3"
Esmeralda,Nevada,7,1,0,0,6,"County: Esmeralda, Nevada<br>Total Accidents: 7<br>Critical: 1<br>High: 0<br>Medium: 6<br>Low: 0"
Essex,Massachusetts,492,5,207,1,279,"County: Essex, Massachusetts<br>Total Accidents: 492<br>Critical: 5<br>High: 207<br>Medium: 279<br>Low: 1"
Essex,New Jersey,1067,20,181,1,865,"County: Essex, New Jersey<br>Total Accidents: 1067<br>Critical: 20<br>High: 181<br>Medium: 865<br>Low: 1"
Essex,New York,6,1,3,0,2,"County: Essex, New York<br>Total Accidents: 6<br>Critical: 1<br>High: 3<br>Medium: 2<br>Low: 0"
Essex,Vermont,1,0,0,0,1,"County: Essex, Vermont<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Essex,Virginia,35,7,0,0,28,"County: Essex, Virginia<br>Total Accidents: 35<br>Critical: 7<br>High: 0<br>Medium: 28<br>Low: 0"
Etowah,Alabama,17,3,5,0,9,"County: Etowah, Alabama<br>Total Accidents: 17<br>Critical: 3<br>High: 5<br>Medium: 9<br>Low: 0"
Eureka,Nevada,22,0,2,0,20,"County: Eureka, Nevada<br>Total Accidents: 22<br>Critical: 0<br>High: 2<br>Medium: 20<br>Low: 0"
Evangeline,Louisiana,1,0,0,0,1,"County: Evangeline, Louisiana<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Evans,Georgia,6,3,1,0,2,"County: Evans, Georgia<br>Total Accidents: 6<br>Critical: 3<br>High: 1<br>Medium: 2<br>Low: 0"
Fairfax,Virginia,579,16,28,3,532,"County: Fairfax, Virginia<br>Total Accidents: 579<br>Critical: 16<br>High: 28<br>Medium: 532<br>Low: 3"
Fairfax (City),Virginia,3,0,0,0,3,"County: Fairfax (City), Virginia<br>Total Accidents: 3<br>Critical: 0<br>High: 0<br>Medium: 3<br>Low: 0"
Fairfax City,Virginia,23,0,0,0,23,"County: Fairfax City, Virginia<br>Total Accidents: 23<br>Critical: 0<br>High: 0<br>Medium: 23<br>Low: 0"
Fairfax County,Virginia,2323,32,745,2,1544,"County: Fairfax County, Virginia<br>Total Accidents: 2323<br>Critical: 32<br>High: 745<br>Medium: 1544<br>Low: 2"
Fairfield,Connecticut,1143,36,294,1,812,"County: Fairfield, Connecticut<br>Total Accidents: 1143<br>Critical: 36<br>High: 294<br>Medium: 812<br>Low: 1"
Fairfield,Ohio,55,5,6,1,43,"County: Fairfield, Ohio<br>Total Accidents: 55<br>Critical: 5<br>High: 6<br>Medium: 43<br>Low: 1"
Fairfield,South Carolina,136,2,15,0,119,"County: Fairfield, South Carolina<br>Total Accidents: 136<br>Critical: 2<br>High: 15<br>Medium: 119<br>Low: 0"
Falls,Texas,2,1,1,0,0,"County: Falls, Texas<br>Total Accidents: 2<br>Critical: 1<br>High: 1<br>Medium: 0<br>Low: 0"
Falls Church,Virginia,2,0,0,0,2,"County: Falls Church, Virginia<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Falls Church (City),Virginia,2,0,0,0,2,"County: Falls Church (City), Virginia<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Fannin,Georgia,2,1,0,0,1,"County: Fannin, Georgia<br>Total Accidents: 2<br>Critical: 1<br>High: 0<br>Medium: 1<br>Low: 0"
Fannin,Texas,4,3,0,0,1,"County: Fannin, Texas<br>Total Accidents: 4<br>Critical: 3<br>High: 0<br>Medium: 1<br>Low: 0"
Faribault,Minnesota,46,0,2,0,44,"County: Faribault, Minnesota<br>Total Accidents: 46<br>Critical: 0<br>High: 2<br>Medium: 44<br>Low: 0"
Faulkner,Arkansas,37,2,0,0,35,"County: Faulkner, Arkansas<br>Total Accidents: 37<br>Critical: 2<br>High: 0<br>Medium: 35<br>Low: 0"
Fauquier,Virginia,249,39,19,0,191,"County: Fauquier, Virginia<br>Total Accidents: 249<br>Critical: 39<br>High: 19<br>Medium: 191<br>Low: 0"
Fayette,Alabama,6,0,0,0,6,"County: Fayette, Alabama<br>Total Accidents: 6<br>Critical: 0<br>High: 0<br>Medium: 6<br>Low: 0"
Fayette,Georgia,49,6,6,0,37,"County: Fayette, Georgia<br>Total Accidents: 49<br>Critical: 6<br>High: 6<br>Medium: 37<br>Low: 0"
Fayette,Illinois,8,2,6,0,0,"County: Fayette, Illinois<br>Total Accidents: 8<br>Critical: 2<br>High: 6<br>Medium: 0<br>Low: 0"
Fayette,Indiana,2,2,0,0,0,"County: Fayette, Indiana<br>Total Accidents: 2<br>Critical: 2<br>High: 0<br>Medium: 0<br>Low: 0"
Fayette,Iowa,2,1,0,0,1,"County: Fayette, Iowa<br>Total Accidents: 2<br>Critical: 1<br>High: 0<br>Medium: 1<br>Low: 0"
Fayette,Kentucky,349,8,19,10,312,"County: Fayette, Kentucky<br>Total Accidents: 349<br>Critical: 8<br>High: 19<br>Medium: 312<br>Low: 10"
Fayette,Ohio,11,0,4,0,7,"County: Fayette, Ohio<br>Total Accidents: 11<br>Critical: 0<br>High: 4<br>Medium: 7<br>Low: 0"
Fayette,Pennsylvania,33,6,0,0,27,"County: Fayette, Pennsylvania<br>Total Accidents: 33<br>Critical: 6<br>High: 0<br>Medium: 27<br>Low: 0"
Fayette,Tennessee,11,2,6,1,2,"County: Fayette, Tennessee<br>Total Accidents: 11<br>Critical: 2<br>High: 6<br>Medium: 2<br>Low: 1"
Fayette,Texas,2,0,0,0,2,"County: Fayette, Texas<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Fayette,West Virginia,13,0,1,0,12,"County: Fayette, West Virginia<br>Total Accidents: 13<br>Critical: 0<br>High: 1<br>Medium: 12<br>Low: 0"
Fentress,Tennessee,3,1,0,0,2,"County: Fentress, Tennessee<br>Total Accidents: 3<br>Critical: 1<br>High: 0<br>Medium: 2<br>Low: 0"
Fergus,Montana,13,0,0,0,13,"County: Fergus, Montana<br>Total Accidents: 13<br>Critical: 0<br>High: 0<br>Medium: 13<br>Low: 0"
Ferry,Washington,2,1,0,0,1,"County: Ferry, Washington<br>Total Accidents: 2<br>Critical: 1<br>High: 0<br>Medium: 1<br>Low: 0"
Fillmore,Minnesota,33,0,0,0,33,"County: Fillmore, Minnesota<br>Total Accidents: 33<br>Critical: 0<br>High: 0<br>Medium: 33<br>Low: 0"
Flagler,Florida,60,4,14,0,42,"County: Flagler, Florida<br>Total Accidents: 60<br>Critical: 4<br>High: 14<br>Medium: 42<br>Low: 0"
Flathead,Montana,162,1,0,0,161,"County: Flathead, Montana<br>Total Accidents: 162<br>Critical: 1<br>High: 0<br>Medium: 161<br>Low: 0"
Florence,South Carolina,706,6,60,13,627,"County: Florence, South Carolina<br>Total Accidents: 706<br>Critical: 6<br>High: 60<br>Medium: 627<br>Low: 13"
Floyd,Georgia,16,7,0,0,9,"County: Floyd, Georgia<br>Total Accidents: 16<br>Critical: 7<br>High: 0<br>Medium: 9<br>Low: 0"
Floyd,Indiana,73,3,25,0,45,"County: Floyd, Indiana<br>Total Accidents: 73<br>Critical: 3<br>High: 25<br>Medium: 45<br>Low: 0"
Floyd,Iowa,2,0,0,0,2,"County: Floyd, Iowa<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Floyd,Texas,1,0,0,0,1,"County: Floyd, Texas<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Floyd,Virginia,6,2,0,0,4,"County: Floyd, Virginia<br>Total Accidents: 6<br>Critical: 2<br>High: 0<br>Medium: 4<br>Low: 0"
Fluvanna,Virginia,15,6,0,0,9,"County: Fluvanna, Virginia<br>Total Accidents: 15<br>Critical: 6<br>High: 0<br>Medium: 9<br>Low: 0"
Fond du Lac,Wisconsin,17,2,3,0,12,"County: Fond du Lac, Wisconsin<br>Total Accidents: 17<br>Critical: 2<br>High: 3<br>Medium: 12<br>Low: 0"
Ford,Illinois,1,0,1,0,0,"County: Ford, Illinois<br>Total Accidents: 1<br>Critical: 0<br>High: 1<br>Medium: 0<br>Low: 0"
Ford,Kansas,4,1,0,0,3,"County: Ford, Kansas<br>Total Accidents: 4<br>Critical: 1<br>High: 0<br>Medium: 3<br>Low: 0"
Forest,Pennsylvania,1,0,0,0,1,"County: Forest, Pennsylvania<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Forrest,Mississippi,94,2,13,0,79,"County: Forrest, Mississippi<br>Total Accidents: 94<br>Critical: 2<br>High: 13<br>Medium: 79<br>Low: 0"
Forsyth,Georgia,33,2,1,0,30,"County: Forsyth, Georgia<br>Total Accidents: 33<br>Critical: 2<br>High: 1<br>Medium: 30<br>Low: 0"
Forsyth,North Carolina,361,29,74,4,254,"County: Forsyth, North Carolina<br>Total Accidents: 361<br>Critical: 29<br>High: 74<br>Medium: 254<br>Low: 4"
Fort Bend,Texas,174,7,36,0,131,"County: Fort Bend, Texas<br>Total Accidents: 174<br>Critical: 7<br>High: 36<br>Medium: 131<br>Low: 0"
Fountain,Indiana,4,3,1,0,0,"County: Fountain, Indiana<br>Total Accidents: 4<br>Critical: 3<br>High: 1<br>Medium: 0<br>Low: 0"
Franklin,Arkansas,11,3,0,0,8,"County: Franklin, Arkansas<br>Total Accidents: 11<br>Critical: 3<br>High: 0<br>Medium: 8<br>Low: 0"
Franklin,Florida,4,0,1,0,3,"County: Franklin, Florida<br>Total Accidents: 4<br>Critical: 0<br>High: 1<br>Medium: 3<br>Low: 0"
Franklin,Georgia,36,5,8,0,23,"County: Franklin, Georgia<br>Total Accidents: 36<br>Critical: 5<br>High: 8<br>Medium: 23<br>Low: 0"
Franklin,Idaho,1,0,0,0,1,"County: Franklin, Idaho<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Franklin,Illinois,19,1,17,0,1,"County: Franklin, Illinois<br>Total Accidents: 19<br>Critical: 1<br>High: 17<br>Medium: 1<br>Low: 0"
Franklin,Indiana,1,1,0,0,0,"County: Franklin, Indiana<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Franklin,Iowa,7,0,0,0,7,"County: Franklin, Iowa<br>Total Accidents: 7<br>Critical: 0<br>High: 0<br>Medium: 7<br>Low: 0"
Franklin,Kansas,2,0,0,0,2,"County: Franklin, Kansas<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Franklin,Kentucky,6,1,1,0,4,"County: Franklin, Kentucky<br>Total Accidents: 6<br>Critical: 1<br>High: 1<br>Medium: 4<br>Low: 0"
Franklin,Maine,2,0,0,0,2,"County: Franklin, Maine<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Franklin,Massachusetts,20,1,4,0,15,"County: Franklin, Massachusetts<br>Total Accidents: 20<br>Critical: 1<br>High: 4<br>Medium: 15<br>Low: 0"
Franklin,Missouri,36,1,13,0,22,"County: Franklin, Missouri<br>Total Accidents: 36<br>Critical: 1<br>High: 13<br>Medium: 22<br>Low: 0"
Franklin,New York,6,3,1,0,2,"County: Franklin, New York<br>Total Accidents: 6<br>Critical: 3<br>High: 1<br>Medium: 2<br>Low: 0"
Franklin,North Carolina,38,12,0,0,26,"County: Franklin, North Carolina<br>Total Accidents: 38<br>Critical: 12<br>High: 0<br>Medium: 26<br>Low: 0"
Franklin,Ohio,1565,70,641,13,841,"County: Franklin, Ohio<br>Total Accidents: 1565<br>Critical: 70<br>High: 641<br>Medium: 841<br>Low: 13"
Franklin,Pennsylvania,123,19,23,0,81,"County: Franklin, Pennsylvania<br>Total Accidents: 123<br>Critical: 19<br>High: 23<br>Medium: 81<br>Low: 0"
Franklin,Tennessee,7,0,0,0,7,"County: Franklin, Tennessee<br>Total Accidents: 7<br>Critical: 0<br>High: 0<br>Medium: 7<br>Low: 0"
Franklin,Vermont,3,0,0,0,3,"County: Franklin, Vermont<br>Total Accidents: 3<br>Critical: 0<br>High: 0<br>Medium: 3<br>Low: 0"
Franklin,Virginia,15,2,1,0,12,"County: Franklin, Virginia<br>Total Accidents: 15<br>Critical: 2<br>High: 1<br>Medium: 12<br>Low: 0"
Franklin,Washington,1,1,0,0,0,"County: Franklin, Washington<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Franklin City,Virginia,1,0,0,0,1,"County: Franklin City, Virginia<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
